profile,n,noise_std,baseline,method,mean,sd,ci_low,ci_high
concentrated,64,0.25,compressed,lora,-0.07468279249139388,0.005271639111207693,-0.07714999554088572,-0.07221558944190204
concentrated,64,0.25,compressed,random,0.0013895695385821676,0.0007456910994046008,0.0010405753613217136,0.0017385637158426216
concentrated,64,0.25,compressed,gradient,-0.005068330188665354,0.0014647624189924016,-0.005753860102736274,-0.004382800274594435
concentrated,64,0.25,compressed,snip,-0.005172814051994592,0.001272967870557864,-0.005768581354325347,-0.0045770467496638375
concentrated,64,0.25,compressed,energy,0.00373285184955476,0.0012145522506481563,0.0031644238989016983,0.004301279800207822
concentrated,64,0.25,compressed,snip_independent,-0.005223766147354019,0.002103320998612884,-0.006208150676030359,-0.004239381618677679
concentrated,64,0.25,compressed,snip_same_half,-0.010737483604247974,0.0018686317613020908,-0.011612030188831161,-0.009862937019664786
concentrated,64,0.25,snip_same_half,snip_independent,0.005513717456893956,0.002238985066655557,0.004465840189940114,0.006561594723847798
concentrated,64,0.25,snip,snip_independent,-5.0952095359426894e-05,0.0022483143641791174,-0.0011031956079560726,0.0010012914172372188
concentrated,64,0.5,compressed,lora,-0.12273419940169983,0.00816996517631589,-0.12655786080416465,-0.11891053799923501
concentrated,64,0.5,compressed,random,0.004915272283374258,0.0019663401880705388,0.003994996747434812,0.0058355478193137045
concentrated,64,0.5,compressed,gradient,-0.019813847706504878,0.0033194706742428444,-0.021367407803738938,-0.018260287609270818
concentrated,64,0.5,compressed,snip,-0.01799574223871371,0.003087141232026267,-0.01944056880995491,-0.01655091566747251
concentrated,64,0.5,compressed,energy,0.007159759030838967,0.002598875662957196,0.005943447780080906,0.008376070281597028
concentrated,64,0.5,compressed,snip_independent,-0.007140691935487764,0.002509857018945218,-0.008315341178408254,-0.005966042692567274
concentrated,64,0.5,compressed,snip_same_half,-0.02560538220792547,0.004256046021835321,-0.027597273060530544,-0.0236134913553204
concentrated,64,0.5,snip_same_half,snip_independent,0.01846469027243771,0.0036034267574703524,0.016778234637462603,0.020151145907412817
concentrated,64,0.5,snip,snip_independent,0.01085505030322595,0.0032197445043718152,0.009348163490188608,0.01236193711626329
concentrated,64,1.0,compressed,lora,-0.1818588423537905,0.01936737360034173,-0.19092305221326705,-0.17279463249431393
concentrated,64,1.0,compressed,random,0.009291694622069774,0.0031660570585174035,0.007809934307136187,0.01077345493700336
concentrated,64,1.0,compressed,gradient,-0.04365021174013838,0.004401765968906848,-0.04571030162727568,-0.04159012185300109
concentrated,64,1.0,compressed,snip,-0.03821022057002591,0.004881226629191493,-0.040494704953488024,-0.0359257361865638
concentrated,64,1.0,compressed,energy,0.0113834689306966,0.0035039341146426545,0.009743577285897647,0.013023360575495553
concentrated,64,1.0,compressed,snip_independent,-0.007043322994466371,0.004427723994645003,-0.009115561611611343,-0.004971084377321399
concentrated,64,1.0,compressed,snip_same_half,-0.043746490610224266,0.006448663626935003,-0.04676455808978591,-0.04072842313066262
concentrated,64,1.0,snip_same_half,snip_independent,0.03670316761575789,0.006667812054550288,0.03358253551492802,0.03982379971658776
concentrated,64,1.0,snip,snip_independent,0.031166897575559536,0.005667780269461362,0.0285142947570291,0.03381950039408997
concentrated,256,0.25,compressed,lora,-0.0326261625973897,0.0018807003451045193,-0.03350635745305751,-0.03174596774172189
concentrated,256,0.25,compressed,random,0.00015496455066721753,0.00022671699933914528,4.885772879620445e-05,0.0002610713725382306
concentrated,256,0.25,compressed,gradient,-0.00013034183222817292,0.0005007336330833393,-0.00036469238629015667,0.00010400872183381082
concentrated,256,0.25,compressed,snip,-0.0002664364861646632,0.0005432481644304245,-0.0005206844533792737,-1.2188518950052743e-05
concentrated,256,0.25,compressed,energy,0.0026526020916432117,0.00031350253506431394,0.00250587838878395,0.0027993257945024734
concentrated,256,0.25,compressed,snip_independent,-0.000683255246777664,0.0006104114133414707,-0.0009689365820646104,-0.00039757391149071756
concentrated,256,0.25,compressed,snip_same_half,-0.004790572363749748,0.0007519396257128065,-0.005142490941341336,-0.00443865378615816
concentrated,256,0.25,snip_same_half,snip_independent,0.004107317116972086,0.0008179936083966914,0.003724484323883028,0.004490149910061143
concentrated,256,0.25,snip,snip_independent,-0.00041681876061300076,0.0007493996402184714,-0.0007675485884011423,-6.608893282485914e-05
concentrated,256,0.5,compressed,lora,-0.0773598928977054,0.0038613049674679116,-0.07916703925006113,-0.07555274654534966
concentrated,256,0.5,compressed,random,0.001335578114348801,0.0006416535174828407,0.0010352750242368224,0.0016358812044607797
concentrated,256,0.5,compressed,gradient,-0.008892754227292677,0.0017413312108317332,-0.009707722320310553,-0.008077786134274801
concentrated,256,0.5,compressed,snip,-0.006957254619025623,0.001447237788810044,-0.007634582753704018,-0.006279926484347228
concentrated,256,0.5,compressed,energy,0.004090371983171701,0.0008981907474239981,0.0036700057736642035,0.004510738192679198
concentrated,256,0.5,compressed,snip_independent,-0.004656702903597961,0.0018862053890236013,-0.005539474199127876,-0.003773931608068046
concentrated,256,0.5,compressed,snip_same_half,-0.02013972217538957,0.0024045148944832955,-0.021265069786459,-0.01901437456432014
concentrated,256,0.5,snip_same_half,snip_independent,0.015483019271791609,0.0021523363409167075,0.014475694856781476,0.01649034368680174
concentrated,256,0.5,snip,snip_independent,0.002300551715427662,0.0018599313808969945,0.0014300770342153928,0.0031710263966399314
concentrated,256,1.0,compressed,lora,-0.1339872033359186,0.0072468032467214605,-0.13737881165587482,-0.13059559501596238
concentrated,256,1.0,compressed,random,0.0049472860052449255,0.0015862143397583279,0.004204914842568183,0.005689657167921668
concentrated,256,1.0,compressed,gradient,-0.028917176214779777,0.0029728549063920834,-0.030308515139167384,-0.02752583729039217
concentrated,256,1.0,compressed,snip,-0.022331192645954977,0.0028774600249500426,-0.02367788539152899,-0.020984499900380964
concentrated,256,1.0,compressed,energy,0.008101229489189185,0.0019269324105193905,0.007199397360868668,0.009003061617509703
concentrated,256,1.0,compressed,snip_independent,-0.0086150718486943,0.003299673783789568,-0.010159366715993911,-0.0070707769813946894
concentrated,256,1.0,compressed,snip_same_half,-0.04467769300466074,0.0046423475516331894,-0.04685037853843327,-0.042505007470888215
concentrated,256,1.0,snip_same_half,snip_independent,0.03606262115596644,0.0032841104779811783,0.03452561013999667,0.0375996321719362
concentrated,256,1.0,snip,snip_independent,0.013716120797260678,0.003479391431034621,0.01208771548196249,0.015344526112558866
concentrated,1024,0.25,compressed,lora,-0.0040860418895042865,0.00026291873393629185,-0.0042090916447041545,-0.0039629921343044185
concentrated,1024,0.25,compressed,random,-3.533945783768032e-05,5.4920863423889585e-05,-6.104321313308092e-05,-9.63570254227972e-06
concentrated,1024,0.25,compressed,gradient,0.0018563243872050511,9.406673209722375e-05,0.0018122998014187084,0.0019003489729913939
concentrated,1024,0.25,compressed,snip,0.0015204355360384334,0.00022702971606617194,0.0014141823582340433,0.0016266887138428234
