panel,scenario,overlap,n,gamma,method,risk_mean,risk_std,bias,variance
risk_n256,rotated 15 deg,0.9330127018922194,256,0.0,LoRA,10.273251236222814,0.6921650268121625,5.155748833856298,5.117502402366517
risk_n256,rotated 15 deg,0.9330127018922194,256,0.0,ProLoSA,1.6506286201665168,0.09765204755692532,1.01171177305209,0.6389168471144266
risk_n256,rotated 15 deg,0.9330127018922194,256,0.0,Uni-LoRA,1.567035390355205,0.05576326997242013,1.3550530295403531,0.21198236081485156
risk_n256,rotated 15 deg,0.9330127018922194,256,0.0,Oracle Uni-LoRA,0.01798610956618088,0.0045395422408357755,0.00021329184170633866,0.017772817724474543
risk_n256,rotated 15 deg,0.9330127018922194,256,0.5,LoRA,10.335151292327163,0.6924747791928777,5.186666914678203,5.148484377648962
risk_n256,rotated 15 deg,0.9330127018922194,256,0.5,ProLoSA,1.7655030809551508,0.10430482085325403,1.0854011386416529,0.6801019423134975
risk_n256,rotated 15 deg,0.9330127018922194,256,0.5,Uni-LoRA,1.693952146100631,0.05914829901566061,1.4672637800159474,0.22668836608468385
risk_n256,rotated 15 deg,0.9330127018922194,256,0.5,Oracle Uni-LoRA,0.15963794160250117,0.009302334755083179,0.12544815158033046,0.03418979002217079
risk_n256,rotated 15 deg,0.9330127018922194,256,1.0,LoRA,10.522616908233307,0.7000776643318594,5.281234011508261,5.241382896725045
risk_n256,rotated 15 deg,0.9330127018922194,256,1.0,ProLoSA,1.931679111375777,0.136490068223148,1.194579555644089,0.7370995557316877
risk_n256,rotated 15 deg,0.9330127018922194,256,1.0,Uni-LoRA,2.10533976550869,0.07489331281268316,1.8288316400926878,0.2765081254160029
risk_n256,rotated 15 deg,0.9330127018922194,256,1.0,Oracle Uni-LoRA,0.5871414263398321,0.024164578670606646,0.5010979935148905,0.08604343282494163
risk_n256,rotated 15 deg,0.9330127018922194,256,1.5,LoRA,10.835648083941248,0.7152268406434477,5.439450124346474,5.396197959594771
risk_n256,rotated 15 deg,0.9330127018922194,256,1.5,ProLoSA,2.0774017689343314,0.17611918041264407,1.2824003872538121,0.795001381680519
risk_n256,rotated 15 deg,0.9330127018922194,256,1.5,Uni-LoRA,2.801198248579384,0.10168160208608658,2.4397566097705754,0.3614416388088083
risk_n256,rotated 15 deg,0.9330127018922194,256,1.5,Oracle Uni-LoRA,1.3004965637781738,0.048121035879342876,1.1271628176453865,0.1733337461327871
risk_n256,rotated 15 deg,0.9330127018922194,256,2.0,LoRA,11.274244819450983,0.7381077678985002,5.661315253192841,5.61292956625814
risk_n256,rotated 15 deg,0.9330127018922194,256,2.0,ProLoSA,2.229751161063099,0.23978549209216743,1.3696781112964889,0.8600730497666104
risk_n256,rotated 15 deg,0.9330127018922194,256,2.0,Uni-LoRA,3.78152759531271,0.13807061257556175,3.3000386890496096,0.4814889062631007
risk_n256,rotated 15 deg,0.9330127018922194,256,2.0,Oracle Uni-LoRA,2.299703353917526,0.08119239444043748,2.0036426239718192,0.2960607299457071
risk_n1024,rotated 15 deg,0.9330127018922194,1024,0.0,LoRA,0.12509347066619425,0.011264639052027568,0.0013476870053127769,0.1237457836608815
risk_n1024,rotated 15 deg,0.9330127018922194,1024,0.0,ProLoSA,1.251538606232298,0.032537768628749936,0.9655015657940014,0.28603704043829653
risk_n1024,rotated 15 deg,0.9330127018922194,1024,0.0,Uni-LoRA,1.4015278736793189,0.011423337816528403,1.3530128828506585,0.04851499082866036
risk_n1024,rotated 15 deg,0.9330127018922194,1024,0.0,Oracle Uni-LoRA,0.004068254877647674,0.0009273485000968335,3.4616019730768745e-05,0.004033638857916905
risk_n1024,rotated 15 deg,0.9330127018922194,1024,0.5,LoRA,0.12509347066338164,0.011264639043485132,0.0013476870053873513,0.12374578365799432
risk_n1024,rotated 15 deg,0.9330127018922194,1024,0.5,ProLoSA,1.3253510183354638,0.03492845557935875,1.023611261394609,0.301739756940855
risk_n1024,rotated 15 deg,0.9330127018922194,1024,0.5,Uni-LoRA,1.516396362186281,0.01224119419362268,1.4646590774778896,0.05173728470839145
risk_n1024,rotated 15 deg,0.9330127018922194,1024,0.5,Oracle Uni-LoRA,0.1330759378559828,0.0018839917999062918,0.12507427817019326,0.008001659685789603
risk_n1024,rotated 15 deg,0.9330127018922194,1024,1.0,LoRA,0.1250934706605689,0.011264639034942596,0.00134768700546194,0.12374578365510697
risk_n1024,rotated 15 deg,0.9330127018922194,1024,1.0,ProLoSA,1.3689255216701874,0.03669570635259782,1.1023927829226268,0.26653273874756095
risk_n1024,rotated 15 deg,0.9330127018922194,1024,1.0,Uni-LoRA,1.8882744831281701,0.015520885901360287,1.8253307787328565,0.06294370439531383
risk_n1024,rotated 15 deg,0.9330127018922194,1024,1.0,Oracle Uni-LoRA,0.5201770880591046,0.005064957949835565,0.5001941574397161,0.019982930619388443
risk_n1024,rotated 15 deg,0.9330127018922194,1024,1.5,LoRA,0.12509347065775625,0.011264639026400175,0.0013476870055365207,0.12374578365221969
risk_n1024,rotated 15 deg,0.9330127018922194,1024,1.5,ProLoSA,1.3833483848734418,0.04959906439202757,1.1519523611290143,0.23139602374442692
risk_n1024,rotated 15 deg,0.9330127018922194,1024,1.5,Uni-LoRA,2.5171622365049875,0.020983085396909042,2.4350279866155597,0.08213424988942758
